Designator;Mid X;Mid Y;Layer;Rotation
D1;119,38;-123,8735;top;90
D2;169,164;-131,572;top;90
D3;110,236;-123,8735;top;90
D31;178,054;-88,059501;top;-90
D32;175,514;-103,710499;top;90
D33;168,91;-113,014501;top;90
D34;172,974;-113,014501;top;90
D35;177,038;-113,014501;top;90
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
R1;166,878;-65,215;top;90
R2;169,418;-65,215;top;90
R3;133,858;-65,215;top;90
R4;131,318;-65,215;top;90
R5;154,178;-87,947;top;-90
R6;151,638;-87,947;top;-90
R7;141,478;-87,947;top;-90
R8;144,018;-87,947;top;-90
R9;131,318;-87,947;top;-90
R10;133,858;-87,947;top;-90
R11;149,098;-87,947;top;-90
R12;146,558;-87,947;top;-90
R13;161,798;-87,947;top;-90
R14;164,338;-87,947;top;-90
R15;156,718;-87,947;top;-90
R16;159,258;-87,947;top;-90
R17;126,238;-87,947;top;-90
R18;128,778;-87,947;top;-90
R19;128,778;-65,215;top;90
R20;126,238;-65,215;top;90
R21;144,018;-65,215;top;90
R22;138,938;-65,215;top;90
R23;141,478;-65,215;top;90
R24;138,938;-87,947;top;-90
R25;154,178;-65,215;top;90
R26;146,558;-65,215;top;90
R27;113,538;-65,215;top;90
R28;149,098;-65,215;top;90
R29;116,078;-65,215;top;-90
R30;156,718;-65,087;top;-90
R31;118,618;-87,947;top;-90
R32;116,078;-87,947;top;-90
R34;118,618;-65,215;top;-90
R35;164,338;-65,215;top;-90
R36;161,798;-65,215;top;-90
R37;159,258;-65,215;top;-90
R38;121,158;-87,947;top;90
R39;123,698;-65,215;top;-90
R40;121,158;-65,215;top;-90
R41;113,538;-87,947;top;90
R42;151,638;-65,215;top;-90
R43;123,698;-87,947;top;90
R95;166,878;-87,947;top;90
R96;175,514;-100,267;top;90
R97;168,91;-109,157;top;90
R98;172,974;-109,157;top;90
R99;177,038;-109,157;top;90
